Zip_CoDE,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher
33626,165,0.8,444,2.3,2529,12.9,3183,16.3,1661,8.5,7030,36,4525,23.2,96.9
33629,305,1.7,166,0.9,2263,12.4,2425,13.3,1118,6.1,6512,35.7,5457,29.9,97.4
33634,838,5.7,1250,8.5,4248,29,2717,18.6,1294,8.8,2988,20.4,1290,8.8,85.7
33635,330,2.7,697,5.6,3495,28.3,2869,23.2,1345,10.9,2214,17.9,1407,11.4,91.7
33637,450,4.5,539,5.4,2549,25.4,2188,21.8,1037,10.3,2216,22,1071,10.7,90.2
33647,872,2.2,775,1.9,5737,14.2,6905,17.1,3290,8.1,13006,32.1,9875,24.4,95.9
33701,334,2.7,944,7.7,2763,22.4,2334,18.9,868,7,2851,23.1,2230,18.1,89.6
33702,574,2.6,1558,7,6344,28.3,4959,22.1,2275,10.2,4416,19.7,2278,10.2,90.5
33703,412,2.3,1095,6,4235,23.3,3813,21,1746,9.6,4296,23.7,2548,14,91.7
33704,223,1.8,404,3.2,2214,17.5,2200,17.4,993,7.8,3698,29.2,2934,23.2,95
33705,988,5.1,1510,7.8,5612,28.9,3985,20.5,1764,9.1,3148,16.2,2391,12.3,87.1
33706,153,1.1,480,3.4,2603,18.6,3220,23,1335,9.5,3450,24.6,2779,19.8,95.5
33707,431,2.1,1282,6.2,5627,27.2,4391,21.3,1736,8.4,4764,23.1,2429,11.8,91.7
33708,291,2,544,3.8,3726,26.1,3508,24.5,1203,8.4,3271,22.9,1749,12.2,94.2
33709,946,4.6,2241,10.9,8074,39.3,4484,21.8,1599,7.8,2170,10.6,1014,4.9,84.5
33710,652,2.6,1122,4.6,6912,28,5744,23.3,2894,11.7,4927,20,2391,9.7,92.8
33711,300,2.4,1635,13,3994,31.7,2688,21.4,1000,7.9,1840,14.6,1129,9,84.6
33712,701,4.1,1781,10.4,5102,29.7,3578,20.9,1873,10.9,2849,16.6,1272,7.4,85.5
33713,993,4.3,1962,8.6,6698,29.3,5087,22.2,2797,12.2,3768,16.5,1558,6.8,87.1
33714,1145,8.2,2007,14.3,5084,36.3,2669,19.1,1297,9.3,1342,9.6,465,3.3,77.5
33715,57,0.9,119,1.9,945,14.9,1261,19.9,434,6.9,1906,30.1,1606,25.4,97.2
33716,195,1.6,394,3.2,2680,21.5,2917,23.5,1073,8.6,3364,27,1816,14.6,95.3
33744,23,14.2,12,7.4,78,48.1,25,15.4,12,7.4,0,0,12,7.4,78.4
33755,555,3.3,1803,10.7,5391,32,4063,24.1,1517,9,2609,15.5,931,5.5,86
33756,1205,5.2,1805,7.8,6119,26.6,5714,24.8,2596,11.3,3844,16.7,1733,7.5,86.9
33759,181,1.4,847,6.7,4004,31.9,2592,20.6,1202,9.6,2498,19.9,1237,9.8,91.8
33760,527,4.4,1282,10.6,4032,33.3,2719,22.5,1102,9.1,1578,13.1,850,7,85
33761,263,1.7,453,2.9,3885,25,3689,23.8,1528,9.9,3798,24.5,1893,12.2,95.4
33762,105,1.8,559,9.6,1502,25.7,1084,18.5,471,8.1,1196,20.4,932,15.9,88.6
33763,683,4.7,669,4.6,4519,30.9,3924,26.8,1265,8.6,2338,16,1241,8.5,90.8
33764,616,3,871,4.3,6142,30.1,5095,25,2108,10.3,3729,18.3,1818,8.9,92.7
33765,207,1.9,776,7.1,3378,31,2789,25.6,1256,11.5,1909,17.5,583,5.3,91
33767,206,2.8,179,2.5,1544,21.3,1602,22.1,576,8,1813,25,1322,18.3,94.7
